,id,url,text,rating,time_created,user
0,CWTgeuiM3Od0v93hL2fhUw,https://www.yelp.com/biz/bat-city-pies-austin?adjust_creative=HCd3mlYSSBgpBbGmrzgqcQ&hrid=CWTgeuiM3Od0v93hL2fhUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=HCd3mlYSSBgpBbGmrzgqcQ,"Holy sh*t.

Via 313 better watch its back, there's a new sheriff in town.

This is the best Detroit style pizza in town.",5,2023-10-16 16:30:33,"{'id': 'uhr9eqkndoB_NwO7Pvm-sg', 'profile_url': 'https://www.yelp.com/user_details?userid=uhr9eqkndoB_NwO7Pvm-sg', 'image_url': None, 'name': 'Adam P.'}"
1,Nl4VWWGCDorM3PPtM9URrw,https://www.yelp.com/biz/bat-city-pies-austin?adjust_creative=HCd3mlYSSBgpBbGmrzgqcQ&hrid=Nl4VWWGCDorM3PPtM9URrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=HCd3mlYSSBgpBbGmrzgqcQ,"This pizza is a must try! 

They are not stingy with the toppings and the owner takes pride in what he does and not just looking to make a dollar. 

My kind...",5,2023-08-14 16:29:42,"{'id': '1tMaLhLkNchocWN-81Bczg', 'profile_url': 'https://www.yelp.com/user_details?userid=1tMaLhLkNchocWN-81Bczg', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/Xvoen1KftkwEgzY1IHqirw/o.jpg', 'name': 'Quenton B.'}"
2,89j7WxU8i25fr3eRfSzkjw,https://www.yelp.com/biz/bat-city-pies-austin?adjust_creative=HCd3mlYSSBgpBbGmrzgqcQ&hrid=89j7WxU8i25fr3eRfSzkjw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=HCd3mlYSSBgpBbGmrzgqcQ,"I hate to dampen the really high reviews but my experience with the pies got here was not 5-star worthy.

I ordered two for delivery, no real issue with the...",4,2023-11-27 00:38:00,"{'id': 'Fw8fo5h4tCbRHfb4l5DtOQ', 'profile_url': 'https://www.yelp.com/user_details?userid=Fw8fo5h4tCbRHfb4l5DtOQ', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/LyGmRcbU7-aEniWYdtFnpQ/o.jpg', 'name': 'Steven L.'}"
